year,date,territory_type,territory,sex,nationality,age_group,age_min,age_max,population
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 15-19 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 20-24 años,,,1
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 25-29 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 30-34 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 35-39 años,,,2
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 40-44 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 45-49 años,,,2
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 5-9 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 50-54 años,,,3
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 55-59 años,,,2
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 60-64 años,,,3
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 65-69 años,,,5
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 70-74 años,,,3
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 75-79 años,,,1
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 80-84 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 85-89 años,,,3
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 90-94 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,,De 95-99 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),hombres,,Total,,,26
2021,2021-01-01,Municipios,Acebeda (La),mujeres,espanola,De 0-4 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),mujeres,espanola,De 10-14 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),mujeres,espanola,De 100 y más años,,,0
2021,2021-01-01,Municipios,Acebeda (La),mujeres,espanola,De 15-19 años,,,1
2021,2021-01-01,Municipios,Acebeda (La),mujeres,espanola,De 20-24 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),mujeres,espanola,De 25-29 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),mujeres,espanola,De 30-34 años,,,2
2021,2021-01-01,Municipios,Acebeda (La),mujeres,espanola,De 35-39 años,,,0
2021,2021-01-01,Municipios,Acebeda (La),mujeres,espanola,De 40-44 años,,,1
2021,2021-01-01,Municipios,Acebeda (La),mujeres,espanola,De 45-49 años,,,2
2021,2021-01-01,Municipios,Acebeda (La),mujeres,espanola,De 5-9 años,,,1
2021,2021-01-01,Municipios,Acebeda (La),mujeres,espanola,De 50-54 años,,,1
2021,2021-01-01,Municipios,Acebeda (La),mujeres,espanola,De 55-59 años,,,2
2021,2021-01-01,Municipios,Acebeda (La),mujeres,espanola,De 60-64 años,,,4
2021,2021-01-01,Municipios,Acebeda (La),mujeres,espanola,De 65-69 años,,,5
2021,2021-01-01,Municipios,Acebeda (La),mujeres,espanola,De 70-74 años,,,5
